GENERATION_PROJECT,gen_dbid,gen_tech,gen_energy_source,gen_load_zone,gen_max_age,gen_is_variable,gen_is_flexible_baseload,gen_is_baseload,gen_can_provide_spinning_reserves,gen_can_provide_quickstart_reserves,gen_full_load_heat_rate,gen_variable_om,gen_connect_cost_per_mw,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_capacity_limit_mw,gen_min_build_capacity,gen_is_cogen,gen_storage_efficiency,gen_min_load_fraction,gen_is_pumped_hydro,gen_storage_energy_to_power_ratio,gen_can_suspend,gen_ccs_capture_efficiency,gen_ccs_energy_load
Anhui-EP_Coal_300_RC-ep-1211,existing.1211,EP_Coal_300_RC,Coal,Anhui,35.0,False,True,False,False,False,8.53,3.9687714481811938,0.0,0.37,0.05,320.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_300_RC-ep-1212,existing.1212,EP_Coal_300_RC,Coal,Anhui,35.0,False,True,False,False,False,8.53,3.9687714481811938,0.0,0.37,0.05,320.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_300_RC-ep-1213,existing.1213,EP_Coal_300_RC,Coal,Anhui,35.0,False,True,False,False,False,8.53,3.9687714481811938,0.0,0.37,0.05,320.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_300_RC-ep-1214,existing.1214,EP_Coal_300_RC,Coal,Anhui,35.0,False,True,False,False,False,8.53,3.9687714481811938,0.0,0.37,0.05,320.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_300_RC-ep-1215,existing.1215,EP_Coal_300_RC,Coal,Anhui,35.0,False,True,False,False,False,8.53,3.9687714481811938,0.0,0.37,0.05,320.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_300_RC-ep-1216,existing.1216,EP_Coal_300_RC,Coal,Anhui,35.0,False,True,False,False,False,8.53,3.9687714481811938,0.0,0.37,0.05,320.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_300_RC-ep-1217,existing.1217,EP_Coal_300_RC,Coal,Anhui,35.0,False,True,False,False,False,8.53,3.9687714481811938,0.0,0.37,0.05,320.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_300_RC-ep-1222,existing.1222,EP_Coal_300_RC,Coal,Anhui,35.0,False,True,False,False,False,8.53,3.9687714481811938,0.0,0.37,0.05,300.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_300_RC-ep-1223,existing.1223,EP_Coal_300_RC,Coal,Anhui,35.0,False,True,False,False,False,8.53,3.9687714481811938,0.0,0.37,0.05,300.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_300_RC-ep-1224,existing.1224,EP_Coal_300_RC,Coal,Anhui,35.0,False,True,False,False,False,8.53,3.9687714481811938,0.0,0.37,0.05,300.0,.,False,.,0.4,False,.,1.0,.,.
