GEN_BLD_YRS_1,GEN_BLD_YRS_2,BuildGen
Fujian-EP_Coal_300_OT-ep-1288,1988,350.0
Fujian-EP_Coal_300_RC-ep-1290,2011,300.0
Fujian-EP_Coal_300_RC-ep-1291,2011,300.0
Fujian-EP_Coal_300_RC-ep-1298,2012,300.0
Fujian-EP_Coal_300_RC-ep-1299,2011,300.0
Fujian-EP_Coal_300_RC-ep-1300,2010,300.0
Fujian-EP_Coal_300_RC-ep-1301,2009,300.0
Fujian-EP_Coal_300_SEA-ep-1272,2001,396.0
Fujian-EP_Coal_300_SEA-ep-1273,2000,396.0
Fujian-EP_Coal_300_SEA-ep-1292,2006,300.0
Fujian-EP_Coal_300_SEA-ep-1293,2005,300.0
Fujian-EP_Coal_300_SEA-ep-1294,2007,300.0
Fujian-EP_Coal_300_SEA-ep-1295,2006,300.0
Fujian-EP_Coal_300_SEA-ep-1296,1996,300.0
Fujian-EP_Coal_300_SEA-ep-1297,1995,300.0
Fujian-EP_Coal_600_OT-ep-1253,2010,660.0
Fujian-EP_Coal_600_OT-ep-1254,2010,660.0
Fujian-EP_Coal_600_SEA-ep-1249,2012,670.0
Fujian-EP_Coal_600_SEA-ep-1250,2011,670.0
Fujian-EP_Coal_600_SEA-ep-1251,2009,660.0
Fujian-EP_Coal_600_SEA-ep-1252,2009,660.0
Fujian-EP_Coal_600_SEA-ep-1255,2006,600.0
Fujian-EP_Coal_600_SEA-ep-1256,2006,600.0
Fujian-EP_Coal_600_SEA-ep-1257,2008,600.0
Fujian-EP_Coal_600_SEA-ep-1258,2008,600.0
Fujian-EP_Coal_600_SEA-ep-1259,2006,600.0
Fujian-EP_Coal_600_SEA-ep-1260,2006,600.0
Fujian-EP_Coal_600_SEA-ep-1261,2011,600.0
Fujian-EP_Coal_600_SEA-ep-1262,2011,600.0
Fujian-EP_Coal_600_SEA-ep-1263,2007,600.0
Fujian-EP_Coal_600_SEA-ep-1264,2007,600.0
Fujian-EP_Coal_600_SEA-ep-1265,2008,600.0
Fujian-EP_Coal_600_SEA-ep-1266,2004,600.0
Fujian-EP_Coal_600_SEA-ep-1267,2003,600.0
Fujian-EP_Coal_600_SEA-ep-1268,2002,600.0
Fujian-EP_Coal_600_SEA-ep-1269,2001,600.0
Fujian-EP_Coal_600_SEA-ep-1270,2000,600.0
Fujian-EP_Coal_600_SEA-ep-1271,1999,600.0
Fujian-EP_Gas_CCGT_RC-ep-1284,2008,362.0
Fujian-EP_Gas_CCGT_SEA-ep-1274,2010,393.0
