gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Coal_1000_RC,Zhejiang,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_RC,Zhejiang,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_RC_CCS,Anhui,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_RC_CCS,Anhui,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_RC_CCS,Fujian,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_RC_CCS,Fujian,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_RC_CCS,Jiangsu,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_RC_CCS,Jiangsu,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_RC_CCS,Shanghai,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_RC_CCS,Shanghai,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_RC_CCS,Zhejiang,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_RC_CCS,Zhejiang,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_RC_H2,Anhui,Hydrogen,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
