GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,BuildGen,BuildStorageEnergy,GenCapitalOutlay
Anhui-Hydro_NonPumped-ep-30975,2048,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30994,2038,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_NonPumped-ep-30994,2048,Hydro_NonPumped,Anhui,Water,.,.,.
Anhui-Hydro_Pumped-ep-35020,2038,Hydro_Pumped,Anhui,Water,.,.,.
Anhui-Hydro_Pumped-ep-35020,2048,Hydro_Pumped,Anhui,Water,.,.,.
Anhui-Hydro_Pumped-ep-35027,2038,Hydro_Pumped,Anhui,Water,.,.,.
Anhui-Hydro_Pumped-ep-35027,2048,Hydro_Pumped,Anhui,Water,.,.,.
Anhui-Hydro_Pumped-ep-35039,2038,Hydro_Pumped,Anhui,Water,.,.,.
Anhui-Hydro_Pumped-ep-35039,2048,Hydro_Pumped,Anhui,Water,.,.,.
Anhui-Hydro_Pumped-ep-35040,2038,Hydro_Pumped,Anhui,Water,.,.,.
Anhui-Hydro_Pumped-ep-35040,2048,Hydro_Pumped,Anhui,Water,.,.,.
Anhui-Nuclear_SMR-13106,2038,Nuclear_SMR,Anhui,Uranium,2350,.,1.25431e+10
Anhui-Nuclear_SMR-13106,2048,Nuclear_SMR,Anhui,Uranium,0,.,0
Anhui-Residential_PV-201,2038,Residential_PV,Anhui,Solar,0,.,0
Anhui-Residential_PV-201,2048,Residential_PV,Anhui,Solar,0,.,0
Anhui-Residential_PV-202,2038,Residential_PV,Anhui,Solar,0,.,0
Anhui-Residential_PV-202,2048,Residential_PV,Anhui,Solar,0,.,0
Anhui-Residential_PV-203,2038,Residential_PV,Anhui,Solar,0,.,0
Anhui-Residential_PV-203,2048,Residential_PV,Anhui,Solar,0,.,0
Anhui-Residential_PV-204,2038,Residential_PV,Anhui,Solar,0,.,0
Anhui-Residential_PV-204,2048,Residential_PV,Anhui,Solar,0,.,0
Anhui-Wind-1081,2038,Wind,Anhui,Wind,1806,.,2.05485e+09
Anhui-Wind-1081,2048,Wind,Anhui,Wind,0,.,0
Anhui-Wind-1082,2038,Wind,Anhui,Wind,1806,.,2.05485e+09
Anhui-Wind-1082,2048,Wind,Anhui,Wind,0,.,0
Anhui-Wind-1083,2038,Wind,Anhui,Wind,1806,.,2.05485e+09
Anhui-Wind-1083,2048,Wind,Anhui,Wind,0,.,0
Anhui-Wind-1155,2038,Wind,Anhui,Wind,1806,.,2.05485e+09
Anhui-Wind-1155,2048,Wind,Anhui,Wind,0,.,0
Anhui-Wind-1158,2038,Wind,Anhui,Wind,1806,.,2.05485e+09
Anhui-Wind-1158,2048,Wind,Anhui,Wind,0,.,0
Anhui-Wind_EP-ep-40078,2038,Wind_EP,Anhui,Wind,.,.,.
Anhui-Wind_EP-ep-40103,2038,Wind_EP,Anhui,Wind,.,.,.
Anhui-Wind_EP-ep-40131,2038,Wind_EP,Anhui,Wind,.,.,.
Anhui-Wind_EP-ep-40160,2038,Wind_EP,Anhui,Wind,.,.,.
Anhui-Wind_EP-ep-40186,2038,Wind_EP,Anhui,Wind,.,.,.
Anhui-Wind_EP-ep-40214,2038,Wind_EP,Anhui,Wind,.,.,.
Anhui-Wind_EP-ep-40256,2038,Wind_EP,Anhui,Wind,.,.,.
Fujian-Battery_Storage-11178,2038,Battery_Storage,Fujian,Storage,44142.1,264853,6.84058e+10
Fujian-Battery_Storage-11178,2048,Battery_Storage,Fujian,Storage,0,0,0
Fujian-Central_PV-407,2038,Central_PV,Fujian,Solar,46666.7,.,3.96344e+10
Fujian-Central_PV-407,2048,Central_PV,Fujian,Solar,0,.,0
Fujian-Central_PV-408,2038,Central_PV,Fujian,Solar,46666.7,.,3.96344e+10
