generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Anhui-EP_Coal_600_RC-ep-1167,existing.1167,EP_Coal_600_RC,Anhui,Coal,2038,3661.6799999999994,14532371.036376115,2773625.9316479997,660.0,25276452.299623393,9180085.861358956,13.378806776495615,0.6333333333333332,,
Anhui-EP_Coal_600_RC-ep-1167,existing.1167,EP_Coal_600_RC,Anhui,Coal,2048,0.0,0.0,0.0,0.0,25276452.299623393,0.0,0.0,0.0,,
Anhui-EP_Coal_600_RC-ep-1176,existing.1176,EP_Coal_600_RC,Anhui,Coal,2038,3550.72,14091996.15648593,2689576.660992,640.0,24510499.199634805,8901901.441317776,13.378806776495615,0.6333333333333333,,
Anhui-EP_Coal_600_RC-ep-1177,existing.1177,EP_Coal_600_RC,Anhui,Coal,2038,3550.72,14091996.15648593,2689576.660992,640.0,24510499.199634805,8901901.441317776,13.378806776495615,0.6333333333333333,,
Anhui-EP_Coal_600_RC-ep-1178,existing.1178,EP_Coal_600_RC,Anhui,Coal,2038,3550.72,14091996.15648593,2689576.660992,640.0,24510499.199634805,8901901.441317776,13.378806776495615,0.6333333333333333,,
Anhui-EP_Coal_600_RC-ep-1179,existing.1179,EP_Coal_600_RC,Anhui,Coal,2038,3550.72,14091996.15648593,2689576.660992,640.0,24510499.199634805,8901901.441317776,13.378806776495615,0.6333333333333333,,
Anhui-EP_Coal_600_RC-ep-1180,existing.1180,EP_Coal_600_RC,Anhui,Coal,2038,3550.72,14091996.15648593,2689576.660992,640.0,24510499.199634805,8901901.441317776,13.378806776495615,0.6333333333333333,,
Anhui-EP_Coal_600_RC-ep-1181,existing.1181,EP_Coal_600_RC,Anhui,Coal,2038,3550.72,14091996.15648593,2689576.660992,640.0,24510499.199634805,8901901.441317776,13.378806776495615,0.6333333333333333,,
Anhui-EP_Coal_600_RC-ep-1182,existing.1182,EP_Coal_600_RC,Anhui,Coal,2038,3495.24,13871808.716540836,2647552.0256639994,630.0,24127522.64964051,8762809.231297186,13.378806776495614,0.6333333333333333,,
Anhui-EP_Coal_600_RC-ep-1183,existing.1183,EP_Coal_600_RC,Anhui,Coal,2038,3495.24,13871808.716540836,2647552.0256639994,630.0,24127522.64964051,8762809.231297186,13.378806776495614,0.6333333333333333,,
Anhui-EP_Coal_600_RC-ep-1184,existing.1184,EP_Coal_600_RC,Anhui,Coal,2038,3495.24,13871808.716540836,2647552.0256639994,630.0,24127522.64964051,8762809.231297186,13.378806776495614,0.6333333333333333,,
Anhui-EP_Coal_600_RC-ep-1185,existing.1185,EP_Coal_600_RC,Anhui,Coal,2038,3495.24,13871808.716540836,2647552.0256639994,630.0,24127522.64964051,8762809.231297186,13.378806776495614,0.6333333333333333,,
Anhui-EP_Coal_600_RC-ep-1186,existing.1186,EP_Coal_600_RC,Anhui,Coal,2038,3495.24,13871808.716540836,2647552.0256639994,630.0,24127522.64964051,8762809.231297186,13.378806776495614,0.6333333333333333,,
Anhui-EP_Coal_600_RC-ep-1186,existing.1186,EP_Coal_600_RC,Anhui,Coal,2048,0.0,0.0,0.0,0.0,24127522.64964051,0.0,0.0,0.0,,
Anhui-EP_Coal_600_RC-ep-1187,existing.1187,EP_Coal_600_RC,Anhui,Coal,2038,3495.24,13871808.716540836,2647552.0256639994,630.0,24127522.64964051,8762809.231297186,13.378806776495614,0.6333333333333333,,
Anhui-EP_Coal_600_RC-ep-1188,existing.1188,EP_Coal_600_RC,Anhui,Coal,2038,3495.24,13871808.716540836,2647552.0256639994,630.0,24127522.64964051,8762809.231297186,13.378806776495614,0.6333333333333333,,
Anhui-EP_Coal_600_RC-ep-1189,existing.1189,EP_Coal_600_RC,Anhui,Coal,2038,3495.24,13871808.716540836,2647552.0256639994,630.0,24127522.64964051,8762809.231297186,13.378806776495614,0.6333333333333333,,
