STORAGE_GEN_TPS_1,STORAGE_GEN_TPS_2,StateOfCharge
Jiangsu-Hydro_Pumped-ep-35028,2050.06.12.08,729.2164652406318
Jiangsu-Hydro_Pumped-ep-35028,2050.06.12.12,1458.432930481264
Jiangsu-Hydro_Pumped-ep-35028,2050.06.12.16,2187.649395721895
Jiangsu-Hydro_Pumped-ep-35028,2050.06.12.20,1329.747671909387
Jiangsu-Hydro_Pumped-ep-35028,2050.12.12.00,401.062416332464
Jiangsu-Hydro_Pumped-ep-35028,2050.12.12.04,200.531208166232
Jiangsu-Hydro_Pumped-ep-35028,2050.12.12.08,0.0
Jiangsu-Hydro_Pumped-ep-35028,2050.12.12.12,1105.631526105712
Jiangsu-Hydro_Pumped-ep-35028,2050.12.12.16,802.124832664928
Jiangsu-Hydro_Pumped-ep-35028,2050.12.12.20,601.593624498696
Jiangsu-Hydro_Pumped-ep-35037,2040.06.26.00,1158.167327146884
Jiangsu-Hydro_Pumped-ep-35037,2040.06.26.04,0.0
Jiangsu-Hydro_Pumped-ep-35037,2040.06.26.08,984.4422280748513
Jiangsu-Hydro_Pumped-ep-35037,2040.06.26.12,1968.884456149703
Jiangsu-Hydro_Pumped-ep-35037,2040.06.26.16,2953.326684224554
Jiangsu-Hydro_Pumped-ep-35037,2040.06.26.20,1795.15935707767
Jiangsu-Hydro_Pumped-ep-35037,2040.12.19.00,541.4342620488264
Jiangsu-Hydro_Pumped-ep-35037,2040.12.19.04,270.7171310244132
Jiangsu-Hydro_Pumped-ep-35037,2040.12.19.08,0.0
Jiangsu-Hydro_Pumped-ep-35037,2040.12.19.12,1492.602560242715
Jiangsu-Hydro_Pumped-ep-35037,2040.12.19.16,1082.868524097653
Jiangsu-Hydro_Pumped-ep-35037,2040.12.19.20,812.1513930732397
Jiangsu-Hydro_Pumped-ep-35037,2050.06.12.00,1158.167327146884
Jiangsu-Hydro_Pumped-ep-35037,2050.06.12.04,0.0
Jiangsu-Hydro_Pumped-ep-35037,2050.06.12.08,984.4422280748513
Jiangsu-Hydro_Pumped-ep-35037,2050.06.12.12,1968.884456149703
Jiangsu-Hydro_Pumped-ep-35037,2050.06.12.16,2953.326684224554
Jiangsu-Hydro_Pumped-ep-35037,2050.06.12.20,1795.15935707767
Jiangsu-Hydro_Pumped-ep-35037,2050.12.12.00,541.4342620488264
Jiangsu-Hydro_Pumped-ep-35037,2050.12.12.04,270.7171310244132
Jiangsu-Hydro_Pumped-ep-35037,2050.12.12.08,0.0
Jiangsu-Hydro_Pumped-ep-35037,2050.12.12.12,1492.602560242715
Jiangsu-Hydro_Pumped-ep-35037,2050.12.12.16,1082.868524097653
Jiangsu-Hydro_Pumped-ep-35037,2050.12.12.20,812.1513930732397
Shanghai-Battery_Storage-11180,2040.06.26.00,-0.0
Shanghai-Battery_Storage-11180,2040.06.26.04,-0.0
Shanghai-Battery_Storage-11180,2040.06.26.08,-0.0
Shanghai-Battery_Storage-11180,2040.06.26.12,0.0
Shanghai-Battery_Storage-11180,2040.06.26.16,-0.0
Shanghai-Battery_Storage-11180,2040.06.26.20,-0.0
Shanghai-Battery_Storage-11180,2040.12.19.00,-0.0
Shanghai-Battery_Storage-11180,2040.12.19.04,-0.0
Shanghai-Battery_Storage-11180,2040.12.19.08,0.0
Shanghai-Battery_Storage-11180,2040.12.19.12,-0.0
Shanghai-Battery_Storage-11180,2040.12.19.16,-0.0
Shanghai-Battery_Storage-11180,2040.12.19.20,0.0
Shanghai-Battery_Storage-11180,2050.06.12.00,-0.0
Shanghai-Battery_Storage-11180,2050.06.12.04,0.0
Shanghai-Battery_Storage-11180,2050.06.12.08,0.0
Shanghai-Battery_Storage-11180,2050.06.12.12,-0.0
Shanghai-Battery_Storage-11180,2050.06.12.16,-0.0
Shanghai-Battery_Storage-11180,2050.06.12.20,-0.0
Shanghai-Battery_Storage-11180,2050.12.12.00,0.0
Shanghai-Battery_Storage-11180,2050.12.12.04,-0.0
Shanghai-Battery_Storage-11180,2050.12.12.08,0.0
Shanghai-Battery_Storage-11180,2050.12.12.12,-0.0
Shanghai-Battery_Storage-11180,2050.12.12.16,-0.0
Shanghai-Battery_Storage-11180,2050.12.12.20,-0.0
Zhejiang-Battery_Storage-11181,2040.06.26.00,0.0
Zhejiang-Battery_Storage-11181,2040.06.26.04,-0.0
Zhejiang-Battery_Storage-11181,2040.06.26.08,58840.72767974687
Zhejiang-Battery_Storage-11181,2040.06.26.12,99029.16396561882
Zhejiang-Battery_Storage-11181,2040.06.26.16,99029.16396561882
Zhejiang-Battery_Storage-11181,2040.06.26.20,69155.60779520894
Zhejiang-Battery_Storage-11181,2040.12.19.00,-0.0
Zhejiang-Battery_Storage-11181,2040.12.19.04,-0.0
Zhejiang-Battery_Storage-11181,2040.12.19.08,36746.07570000499
Zhejiang-Battery_Storage-11181,2040.12.19.12,157708.479399163
Zhejiang-Battery_Storage-11181,2040.12.19.16,0.0
Zhejiang-Battery_Storage-11181,2040.12.19.20,-0.0
Zhejiang-Battery_Storage-11181,2050.06.12.00,4905.599955296464
Zhejiang-Battery_Storage-11181,2050.06.12.04,0.0
Zhejiang-Battery_Storage-11181,2050.06.12.08,9131.89635560487
Zhejiang-Battery_Storage-11181,2050.06.12.12,105618.4118518658
Zhejiang-Battery_Storage-11181,2050.06.12.16,139622.7871647446
Zhejiang-Battery_Storage-11181,2050.06.12.20,111883.3026949841
Zhejiang-Battery_Storage-11181,2050.12.12.00,-0.0
Zhejiang-Battery_Storage-11181,2050.12.12.04,-0.0
Zhejiang-Battery_Storage-11181,2050.12.12.08,117394.2820659931
Zhejiang-Battery_Storage-11181,2050.12.12.12,332136.665085355
Zhejiang-Battery_Storage-11181,2050.12.12.16,52159.63376936823
Zhejiang-Battery_Storage-11181,2050.12.12.20,0.0
