generation_project,timestamp,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,tp_weight_in_year_hrs,period,DispatchGen_MW,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,ChargeStorage_MW,Store_GWh_typical_yr,Discharge_GWh_typical_yr,is_storage
Anhui-Central_PV-402,2040-12-19_16:00,new.402,Central_PV,Anhui,Solar,736.0,2038,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-402,2040-12-19_20:00,new.402,Central_PV,Anhui,Solar,736.0,2038,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-402,2050-06-12_00:00,new.402,Central_PV,Anhui,Solar,724.0,2048,-0.0,-0.0,-0.0,0.0,8500.0,348481888.83728707,125230956.42397632,,,,False
Anhui-Central_PV-402,2050-06-12_04:00,new.402,Central_PV,Anhui,Solar,724.0,2048,-0.0,-0.0,-0.0,0.0,8500.0,348481888.83728707,125230956.42397632,,,,False
Anhui-Central_PV-402,2050-06-12_08:00,new.402,Central_PV,Anhui,Solar,724.0,2048,5497.516780000001,3980.2021487200004,0.0,0.0,8500.0,348481888.83728707,125230956.42397632,,,,False
Anhui-Central_PV-402,2050-06-12_12:00,new.402,Central_PV,Anhui,Solar,724.0,2048,6277.612950000001,4544.9917758,0.0,0.0,8500.0,348481888.83728707,125230956.42397632,,,,False
Anhui-Central_PV-402,2050-06-12_16:00,new.402,Central_PV,Anhui,Solar,724.0,2048,4556.94316,3299.2268478399997,0.0,0.0,8500.0,348481888.83728707,125230956.42397632,,,,False
Anhui-Central_PV-402,2050-06-12_20:00,new.402,Central_PV,Anhui,Solar,724.0,2048,-0.0,-0.0,-0.0,0.0,8500.0,348481888.83728707,125230956.42397632,,,,False
Anhui-Central_PV-402,2050-12-12_00:00,new.402,Central_PV,Anhui,Solar,736.0,2048,-0.0,-0.0,-0.0,0.0,8500.0,348481888.83728707,125230956.42397632,,,,False
Anhui-Central_PV-402,2050-12-12_04:00,new.402,Central_PV,Anhui,Solar,736.0,2048,-0.0,-0.0,-0.0,0.0,8500.0,348481888.83728707,125230956.42397632,,,,False
Anhui-Central_PV-402,2050-12-12_08:00,new.402,Central_PV,Anhui,Solar,736.0,2048,2697.48724,1985.35060864,0.0,0.0,8500.0,348481888.83728707,125230956.42397632,,,,False
Anhui-Central_PV-402,2050-12-12_12:00,new.402,Central_PV,Anhui,Solar,736.0,2048,3957.99117,2913.0815011199998,0.0,0.0,8500.0,348481888.83728707,125230956.42397632,,,,False
Anhui-Central_PV-402,2050-12-12_16:00,new.402,Central_PV,Anhui,Solar,736.0,2048,754.264007,555.138309152,0.0,0.0,8500.0,348481888.83728707,125230956.42397632,,,,False
Anhui-Central_PV-402,2050-12-12_20:00,new.402,Central_PV,Anhui,Solar,736.0,2048,-0.0,-0.0,-0.0,0.0,8500.0,348481888.83728707,125230956.42397632,,,,False
Anhui-Central_PV-403,2040-06-26_00:00,new.403,Central_PV,Anhui,Solar,724.0,2038,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-403,2040-06-26_04:00,new.403,Central_PV,Anhui,Solar,724.0,2038,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-403,2040-06-26_08:00,new.403,Central_PV,Anhui,Solar,724.0,2038,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
