BASE_BLD_RETRO_BLD_1,BASE_BLD_RETRO_BLD_2,BASE_BLD_RETRO_BLD_3,BASE_BLD_RETRO_BLD_4,BuildRetrofitGen
Jiangsu-Coal_1000_OT-12017,2038,Jiangsu-Coal_1000_OT-12017_CCS,2048,0.0
Jiangsu-Coal_1000_OT-12017,2038,Jiangsu-Coal_1000_OT-12017_H2,2038,-0.0
Jiangsu-Coal_1000_OT-12017,2038,Jiangsu-Coal_1000_OT-12017_H2,2048,0.0
Jiangsu-Coal_1000_OT-12017,2048,Jiangsu-Coal_1000_OT-12017_CCS,2048,0.0
Jiangsu-Coal_1000_OT-12017,2048,Jiangsu-Coal_1000_OT-12017_H2,2048,-0.0
Jiangsu-Coal_1000_RC-11945,2038,Jiangsu-Coal_1000_RC-11945_CCS,2038,-0.0
Jiangsu-Coal_1000_RC-11945,2038,Jiangsu-Coal_1000_RC-11945_CCS,2048,0.0
Jiangsu-Coal_1000_RC-11945,2038,Jiangsu-Coal_1000_RC-11945_H2,2038,-0.0
Jiangsu-Coal_1000_RC-11945,2038,Jiangsu-Coal_1000_RC-11945_H2,2048,-0.0
Jiangsu-Coal_1000_RC-11945,2048,Jiangsu-Coal_1000_RC-11945_CCS,2048,0.0
Jiangsu-Coal_1000_RC-11945,2048,Jiangsu-Coal_1000_RC-11945_H2,2048,-0.0
Jiangsu-Coal_1000_RC-11963,2038,Jiangsu-Coal_1000_RC-11963_CCS,2038,-0.0
Jiangsu-Coal_1000_RC-11963,2038,Jiangsu-Coal_1000_RC-11963_CCS,2048,0.0
Jiangsu-Coal_1000_RC-11963,2038,Jiangsu-Coal_1000_RC-11963_H2,2038,-0.0
Jiangsu-Coal_1000_RC-11963,2038,Jiangsu-Coal_1000_RC-11963_H2,2048,0.0
Jiangsu-Coal_1000_RC-11963,2048,Jiangsu-Coal_1000_RC-11963_CCS,2048,0.0
Jiangsu-Coal_1000_RC-11963,2048,Jiangsu-Coal_1000_RC-11963_H2,2048,-0.0
