GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost
Anhui-Hydro_NonPumped-ep-30373,1993,1775731.533973919,4365.648592999313,.
Anhui-Hydro_NonPumped-ep-30404,1994,1775731.533973919,4365.648592999313,.
Anhui-Hydro_NonPumped-ep-30435,1995,1775731.533973919,4365.648592999313,.
Anhui-Hydro_NonPumped-ep-30466,1996,1775731.533973919,4365.648592999313,.
Anhui-Hydro_NonPumped-ep-30497,1997,1775731.533973919,4365.648592999313,.
Anhui-Hydro_NonPumped-ep-30528,1998,1775731.533973919,4365.648592999313,.
Anhui-Hydro_NonPumped-ep-30605,2001,1775731.533973919,4365.648592999313,.
Anhui-Hydro_NonPumped-ep-30628,2002,1775731.533973919,4365.648592999313,.
Anhui-Hydro_NonPumped-ep-30651,2003,1775731.533973919,4365.648592999313,.
Anhui-Hydro_NonPumped-ep-30674,2004,1775731.533973919,4365.648592999313,.
Anhui-Hydro_NonPumped-ep-30722,2005,1775731.533973919,4365.648592999313,.
Anhui-Hydro_NonPumped-ep-30745,2006,1775731.533973919,4365.648592999313,.
Anhui-Hydro_NonPumped-ep-30768,2007,1775731.533973919,4365.648592999313,.
Anhui-Hydro_NonPumped-ep-30792,2008,1775731.533973919,4365.648592999313,.
Anhui-Hydro_NonPumped-ep-30812,2009,1775731.533973919,4365.648592999313,.
Anhui-Hydro_NonPumped-ep-30837,2010,1775731.533973919,4365.648592999313,.
Anhui-Hydro_NonPumped-ep-30866,2012,1775731.533973919,4365.648592999313,.
Anhui-Hydro_NonPumped-ep-30903,2015,1775731.533973919,4365.648592999313,.
Anhui-Hydro_NonPumped-ep-30915,2016,1775731.533973919,4365.648592999313,.
Anhui-Hydro_NonPumped-ep-30934,2013,1775731.533973919,4365.648592999313,.
Anhui-Hydro_NonPumped-ep-30947,2017,1775731.533973919,4365.648592999313,.
Anhui-Hydro_NonPumped-ep-30975,2014,1775731.533973919,4365.648592999313,.
Anhui-Hydro_NonPumped-ep-30994,2011,1775731.533973919,4365.648592999313,.
Anhui-Hydro_Pumped-ep-35020,2000,1452871.9766643788,3571.8943033630744,0.0
Anhui-Hydro_Pumped-ep-35027,2007,1452871.9766643788,3571.8943033630744,0.0
Anhui-Hydro_Pumped-ep-35039,2020,1452871.9766643788,3571.8943033630744,0.0
Anhui-Hydro_Pumped-ep-35040,2020,1452871.9766643788,3571.8943033630744,0.0
Anhui-Nuclear_SMR-13106,2038,5337076.842827728,47625.25737817433,.
Anhui-Nuclear_SMR-13106,2048,5337076.842827728,47625.25737817433,.
Anhui-Residential_PV-201,2038,1589386.077952011,18404.14348208248,.
Anhui-Residential_PV-201,2048,1262501.310836613,15290.94746955895,.
Anhui-Residential_PV-202,2038,1589386.077952011,18404.14348208248,.
Anhui-Residential_PV-202,2048,1262501.310836613,15290.94746955895,.
Anhui-Residential_PV-203,2038,1589386.077952011,18404.14348208248,.
Anhui-Residential_PV-203,2048,1262501.310836613,15290.94746955895,.
Anhui-Residential_PV-204,2038,1589386.077952011,18404.14348208248,.
Anhui-Residential_PV-204,2048,1262501.310836613,15290.94746955895,.
Anhui-Wind-1081,2038,1133824.6927220428,27312.49305941144,.
Anhui-Wind-1081,2048,1012637.3465202048,25332.551360355355,.
Anhui-Wind-1082,2038,1133824.6927220428,27312.49305941144,.
Anhui-Wind-1082,2048,1012637.3465202048,25332.551360355355,.
Anhui-Wind-1083,2038,1133824.6927220428,27312.49305941144,.
Anhui-Wind-1083,2048,1012637.3465202048,25332.551360355355,.
Anhui-Wind-1155,2038,1133824.6927220428,27312.49305941144,.
Anhui-Wind-1155,2048,1012637.3465202048,25332.551360355355,.
Anhui-Wind-1158,2038,1133824.6927220428,27312.49305941144,.
Anhui-Wind-1158,2048,1012637.3465202048,25332.551360355355,.
Anhui-Wind_EP-ep-40078,2012,1593858.6135895676,15875.085792724776,.
Anhui-Wind_EP-ep-40103,2013,1593858.6135895676,15875.085792724776,.
Anhui-Wind_EP-ep-40131,2014,1593858.6135895676,15875.085792724776,.
Anhui-Wind_EP-ep-40160,2015,1593858.6135895676,15875.085792724776,.
Anhui-Wind_EP-ep-40186,2016,1593858.6135895676,15875.085792724776,.
Anhui-Wind_EP-ep-40214,2017,1593858.6135895676,15875.085792724776,.
Anhui-Wind_EP-ep-40256,2011,1593858.6135895676,15875.085792724776,.
Anhui_Fuel_Cell,2038,441993.03135888505,20368.342458934796,.
Anhui_Fuel_Cell,2048,441993.03135888505,20368.342458934796,.
Fujian-Battery_Storage-11178,2038,296946.37972984696,28236.268854795515,208126.0936154934
Fujian-Battery_Storage-11178,2048,273006.37040236796,23270.973793883575,164458.14533824375
Fujian-Central_PV-407,2038,845339.4074710312,16175.598804967343,.
Fujian-Central_PV-407,2048,704967.749310975,14733.05369693839,.
Fujian-Central_PV-408,2038,845339.4074710312,16175.598804967343,.
Fujian-Central_PV-408,2048,704967.749310975,14733.05369693839,.
Fujian-Central_PV-409,2038,845339.4074710312,16175.598804967343,.
Fujian-Central_PV-409,2048,704967.749310975,14733.05369693839,.
Fujian-Central_PV-410,2038,845339.4074710312,16175.598804967343,.
Fujian-Central_PV-410,2048,704967.749310975,14733.05369693839,.
Fujian-Central_PV-411,2038,845339.4074710312,16175.598804967343,.
Fujian-Central_PV-411,2048,704967.749310975,14733.05369693839,.
Fujian-Central_PV-600,2038,845339.4074710312,16175.598804967343,.
Fujian-Central_PV-600,2048,704967.749310975,14733.05369693839,.
Fujian-Central_PV_EP-ep-50028,2013,1904280.0411805075,38085.6537405628,.
Fujian-Central_PV_EP-ep-50057,2014,1904280.0411805075,38085.6537405628,.
Fujian-Central_PV_EP-ep-50086,2015,1904280.0411805075,38085.6537405628,.
Fujian-Central_PV_EP-ep-50116,2016,1904280.0411805075,38085.6537405628,.
Fujian-Central_PV_EP-ep-50147,2017,1904280.0411805075,38085.6537405628,.
Fujian-Central_PV_EP-ep-50175,2011,1904280.0411805075,38085.6537405628,.
Fujian-Coal_1000_OT-12153,2038,727326.316060398,6672.827728208647,.
Fujian-Coal_1000_OT-12153,2048,727326.316060398,6672.827728208647,.
Fujian-Coal_1000_OT-12153_CCS,2038,986760.1332593004,24540.05848482141,.
Fujian-Coal_1000_OT-12153_CCS,2048,986760.1332593004,24540.05848482141,.
Fujian-Coal_1000_OT-12153_H2,2038,10000.0,6672.827728208647,.
Fujian-Coal_1000_OT-12153_H2,2048,10000.0,6672.827728208647,.
Fujian-Coal_1000_RC-12135,2038,765433.1365820178,7023.402539464653,.
Fujian-Coal_1000_RC-12135,2048,765433.1365820178,7023.402539464653,.
Fujian-Coal_1000_RC-12135_CCS,2038,986760.1332593004,24890.63329607741,.
Fujian-Coal_1000_RC-12135_CCS,2048,986760.1332593004,24890.63329607741,.
Fujian-Coal_1000_RC-12135_H2,2038,10000.0,7023.402539464653,.
Fujian-Coal_1000_RC-12135_H2,2048,10000.0,7023.402539464653,.
Fujian-Coal_1000_RC-12161,2038,765433.1365820178,7023.402539464653,.
Fujian-Coal_1000_RC-12161,2048,765433.1365820178,7023.402539464653,.
Fujian-Coal_1000_RC-12161_CCS,2038,986760.1332593004,24890.63329607741,.
Fujian-Coal_1000_RC-12161_CCS,2048,986760.1332593004,24890.63329607741,.
Fujian-Coal_1000_RC-12161_H2,2038,10000.0,7023.402539464653,.
Fujian-Coal_1000_RC-12161_H2,2048,10000.0,7023.402539464653,.
Fujian-Coal_1000_RC-12171,2038,765433.1365820178,7023.402539464653,.
Fujian-Coal_1000_RC-12171,2048,765433.1365820178,7023.402539464653,.
Fujian-Coal_1000_RC-12171_CCS,2038,986760.1332593004,24890.63329607741,.
Fujian-Coal_1000_RC-12171_CCS,2048,986760.1332593004,24890.63329607741,.
Fujian-Coal_1000_RC-12171_H2,2038,10000.0,7023.402539464653,.
Fujian-Coal_1000_RC-12171_H2,2048,10000.0,7023.402539464653,.
Fujian-Coal_1000_SEA-12145,2038,765422.5531914893,7023.402539464653,.
Fujian-Coal_1000_SEA-12145,2048,765422.5531914893,7023.402539464653,.
Fujian-Coal_1000_SEA-12145_CCS,2038,986760.1332593004,24890.63329607741,.
Fujian-Coal_1000_SEA-12145_CCS,2048,986760.1332593004,24890.63329607741,.
Fujian-Coal_1000_SEA-12145_H2,2038,10000.0,7023.402539464653,.
Fujian-Coal_1000_SEA-12145_H2,2048,10000.0,7023.402539464653,.
Fujian-Coal_1000_SEA-12181,2038,765422.5531914893,7023.402539464653,.
Fujian-Coal_1000_SEA-12181,2048,765422.5531914893,7023.402539464653,.
Fujian-Coal_1000_SEA-12181_CCS,2038,986760.1332593004,24890.63329607741,.
Fujian-Coal_1000_SEA-12181_CCS,2048,986760.1332593004,24890.63329607741,.
Fujian-Coal_1000_SEA-12181_H2,2038,10000.0,7023.402539464653,.
Fujian-Coal_1000_SEA-12181_H2,2048,10000.0,7023.402539464653,.
Fujian-Coal_100_RC-ep-1302,2006,1065293.663349348,20486.798215511324,.
Fujian-Coal_100_RC-ep-1303,2006,1065293.663349348,20486.798215511324,.
Fujian-Coal_100_RC-ep-1304,2006,1065293.663349348,20486.798215511324,.
Fujian-Coal_100_RC-ep-1305,2005,1065293.663349348,20486.798215511324,.
Fujian-Coal_100_RC-ep-1306,1990,1065293.663349348,20486.798215511324,.
Fujian-Coal_100_RC-ep-1307,2005,1065293.663349348,20486.798215511324,.
Fujian-Coal_300_OT-12157,2038,782656.2817433081,7526.113589567604,.
Fujian-Coal_300_OT-12157,2048,782656.2817433081,7526.113589567604,.
Fujian-Coal_300_OT-12157_CCS,2038,986760.1332593004,25393.34434618036,.
Fujian-Coal_300_OT-12157_CCS,2048,986760.1332593004,25393.34434618036,.
Fujian-Coal_300_OT-12157_H2,2038,10000.0,7526.113589567604,.
Fujian-Coal_300_OT-12157_H2,2048,10000.0,7526.113589567604,.
Fujian-Coal_300_RC-12139,2038,833562.3901853123,8015.595401509951,.
Fujian-Coal_300_RC-12139,2048,833562.3901853123,8015.595401509951,.
Fujian-Coal_300_RC-12139_CCS,2038,986760.1332593004,25882.82615812271,.
Fujian-Coal_300_RC-12139_CCS,2048,986760.1332593004,25882.82615812271,.
Fujian-Coal_300_RC-12139_H2,2038,10000.0,8015.595401509951,.
Fujian-Coal_300_RC-12139_H2,2048,10000.0,8015.595401509951,.
Fujian-Coal_300_RC-12165,2038,833562.3901853123,8015.595401509951,.
