base_gen_project,retrofit_gen_project
Fujian-EP_Coal_600_SEA-ep-1261,Fujian-EP_Coal_600_SEA-ep-1261_H2
Fujian-EP_Coal_600_SEA-ep-1262,Fujian-EP_Coal_600_SEA-ep-1262_H2
Fujian-EP_Coal_600_SEA-ep-1263,Fujian-EP_Coal_600_SEA-ep-1263_H2
Fujian-EP_Coal_600_SEA-ep-1264,Fujian-EP_Coal_600_SEA-ep-1264_H2
Fujian-EP_Coal_600_SEA-ep-1265,Fujian-EP_Coal_600_SEA-ep-1265_H2
Fujian-EP_Coal_600_SEA-ep-1266,Fujian-EP_Coal_600_SEA-ep-1266_H2
Fujian-EP_Coal_600_SEA-ep-1267,Fujian-EP_Coal_600_SEA-ep-1267_H2
Fujian-EP_Coal_600_SEA-ep-1268,Fujian-EP_Coal_600_SEA-ep-1268_H2
Fujian-EP_Coal_600_SEA-ep-1269,Fujian-EP_Coal_600_SEA-ep-1269_H2
Fujian-EP_Coal_600_SEA-ep-1270,Fujian-EP_Coal_600_SEA-ep-1270_H2
Fujian-EP_Coal_600_SEA-ep-1271,Fujian-EP_Coal_600_SEA-ep-1271_H2
Jiangsu-Coal_1000_OT-11937,Jiangsu-Coal_1000_OT-11937_H2
Jiangsu-Coal_1000_OT-11955,Jiangsu-Coal_1000_OT-11955_H2
Jiangsu-Coal_1000_OT-11973,Jiangsu-Coal_1000_OT-11973_H2
Jiangsu-Coal_1000_OT-11999,Jiangsu-Coal_1000_OT-11999_H2
Jiangsu-Coal_1000_OT-12017,Jiangsu-Coal_1000_OT-12017_H2
Jiangsu-Coal_1000_RC-11945,Jiangsu-Coal_1000_RC-11945_H2
Jiangsu-Coal_1000_RC-11963,Jiangsu-Coal_1000_RC-11963_H2
Jiangsu-Coal_1000_RC-11981,Jiangsu-Coal_1000_RC-11981_H2
Jiangsu-Coal_1000_RC-12007,Jiangsu-Coal_1000_RC-12007_H2
Jiangsu-Coal_1000_RC-12025,Jiangsu-Coal_1000_RC-12025_H2
