STORAGE_GEN_TPS_1,STORAGE_GEN_TPS_2,StateOfCharge
Jiangsu-Hydro_Pumped-ep-35037,2050.12.12.00,541.4342620488264
Jiangsu-Hydro_Pumped-ep-35037,2050.12.12.04,270.7171310244132
Jiangsu-Hydro_Pumped-ep-35037,2050.12.12.08,0.0
Jiangsu-Hydro_Pumped-ep-35037,2050.12.12.12,1492.602560242715
Jiangsu-Hydro_Pumped-ep-35037,2050.12.12.16,1082.868524097653
Jiangsu-Hydro_Pumped-ep-35037,2050.12.12.20,812.1513930732397
Shanghai-Battery_Storage-11180,2040.06.26.00,-0.0
Shanghai-Battery_Storage-11180,2040.06.26.04,0.0
Shanghai-Battery_Storage-11180,2040.06.26.08,-0.0
Shanghai-Battery_Storage-11180,2040.06.26.12,-0.0
Shanghai-Battery_Storage-11180,2040.06.26.16,-0.0
Shanghai-Battery_Storage-11180,2040.06.26.20,-0.0
Shanghai-Battery_Storage-11180,2040.12.19.00,0.0
Shanghai-Battery_Storage-11180,2040.12.19.04,0.0
Shanghai-Battery_Storage-11180,2040.12.19.08,0.0
Shanghai-Battery_Storage-11180,2040.12.19.12,-0.0
Shanghai-Battery_Storage-11180,2040.12.19.16,-0.0
Shanghai-Battery_Storage-11180,2040.12.19.20,-0.0
Shanghai-Battery_Storage-11180,2050.06.12.00,-0.0
Shanghai-Battery_Storage-11180,2050.06.12.04,0.0
Shanghai-Battery_Storage-11180,2050.06.12.08,-0.0
Shanghai-Battery_Storage-11180,2050.06.12.12,-0.0
Shanghai-Battery_Storage-11180,2050.06.12.16,-0.0
Shanghai-Battery_Storage-11180,2050.06.12.20,-0.0
Shanghai-Battery_Storage-11180,2050.12.12.00,-0.0
Shanghai-Battery_Storage-11180,2050.12.12.04,0.0
Shanghai-Battery_Storage-11180,2050.12.12.08,-0.0
Shanghai-Battery_Storage-11180,2050.12.12.12,-0.0
Shanghai-Battery_Storage-11180,2050.12.12.16,-0.0
Shanghai-Battery_Storage-11180,2050.12.12.20,-0.0
Zhejiang-Battery_Storage-11181,2040.06.26.00,55051.61295640256
Zhejiang-Battery_Storage-11181,2040.06.26.04,0.0
Zhejiang-Battery_Storage-11181,2040.06.26.08,59236.13315898051
Zhejiang-Battery_Storage-11181,2040.06.26.12,99849.8540819714
Zhejiang-Battery_Storage-11181,2040.06.26.16,99849.8540819714
Zhejiang-Battery_Storage-11181,2040.06.26.20,99849.8540819714
Zhejiang-Battery_Storage-11181,2040.12.19.00,-0.0
Zhejiang-Battery_Storage-11181,2040.12.19.04,-0.0
Zhejiang-Battery_Storage-11181,2040.12.19.08,32039.372352071
Zhejiang-Battery_Storage-11181,2040.12.19.12,137508.0358457983
Zhejiang-Battery_Storage-11181,2040.12.19.16,0.0
Zhejiang-Battery_Storage-11181,2040.12.19.20,-0.0
Zhejiang-Battery_Storage-11181,2050.06.12.00,140374.5150101577
Zhejiang-Battery_Storage-11181,2050.06.12.04,0.0
Zhejiang-Battery_Storage-11181,2050.06.12.08,86239.16468936969
Zhejiang-Battery_Storage-11181,2050.06.12.12,241064.7181991155
Zhejiang-Battery_Storage-11181,2050.06.12.16,308967.2594851645
Zhejiang-Battery_Storage-11181,2050.06.12.20,190758.0637118292
Zhejiang-Battery_Storage-11181,2050.12.12.00,0.0
Zhejiang-Battery_Storage-11181,2050.12.12.04,-0.0
Zhejiang-Battery_Storage-11181,2050.12.12.08,154141.7059754186
Zhejiang-Battery_Storage-11181,2050.12.12.12,308967.2594851645
Zhejiang-Battery_Storage-11181,2050.12.12.16,107108.649954857
Zhejiang-Battery_Storage-11181,2050.12.12.20,-0.0
Zhejiang-Hydro_Pumped-ep-35006,2040.06.26.00,303.1726444615354
Zhejiang-Hydro_Pumped-ep-35006,2040.06.26.04,0.0
Zhejiang-Hydro_Pumped-ep-35006,2040.06.26.08,468.5395414405544
Zhejiang-Hydro_Pumped-ep-35006,2040.06.26.12,937.0790828811089
Zhejiang-Hydro_Pumped-ep-35006,2040.06.26.16,1405.618624321663
Zhejiang-Hydro_Pumped-ep-35006,2040.06.26.20,854.3956343915994
Zhejiang-Hydro_Pumped-ep-35006,2040.12.19.00,257.6144781771344
Zhejiang-Hydro_Pumped-ep-35006,2040.12.19.04,128.8072390885672
Zhejiang-Hydro_Pumped-ep-35006,2040.12.19.08,0.0
Zhejiang-Hydro_Pumped-ep-35006,2040.12.19.12,710.1804533531813
Zhejiang-Hydro_Pumped-ep-35006,2040.12.19.16,515.2289563542688
Zhejiang-Hydro_Pumped-ep-35006,2040.12.19.20,386.4217172657016
Zhejiang-Hydro_Pumped-ep-35006,2050.06.12.00,1385.611092939872
Zhejiang-Hydro_Pumped-ep-35006,2050.06.12.04,0.0
Zhejiang-Hydro_Pumped-ep-35006,2050.06.12.08,829.3523576
Zhejiang-Hydro_Pumped-ep-35006,2050.06.12.12,1658.7047152
Zhejiang-Hydro_Pumped-ep-35006,2050.06.12.16,2488.0570728
Zhejiang-Hydro_Pumped-ep-35006,2050.06.12.20,1936.834082869936
Zhejiang-Hydro_Pumped-ep-35006,2050.12.12.00,257.6144781771344
Zhejiang-Hydro_Pumped-ep-35006,2050.12.12.04,128.8072390885672
Zhejiang-Hydro_Pumped-ep-35006,2050.12.12.08,0.0
Zhejiang-Hydro_Pumped-ep-35006,2050.12.12.12,710.1804533531813
Zhejiang-Hydro_Pumped-ep-35006,2050.12.12.16,515.2289563542688
Zhejiang-Hydro_Pumped-ep-35006,2050.12.12.20,386.4217172657016
Zhejiang-Hydro_Pumped-ep-35017,2040.06.26.00,37.7438359714948
Zhejiang-Hydro_Pumped-ep-35017,2040.06.26.04,0.0
Zhejiang-Hydro_Pumped-ep-35017,2040.06.26.08,58.33138286503747
Zhejiang-Hydro_Pumped-ep-35017,2040.06.26.12,116.6627657300749
Zhejiang-Hydro_Pumped-ep-35017,2040.06.26.16,174.9941485951124
Zhejiang-Hydro_Pumped-ep-35017,2040.06.26.20,106.3689922833036
Zhejiang-Hydro_Pumped-ep-35017,2040.12.19.00,32.07201832299096
Zhejiang-Hydro_Pumped-ep-35017,2040.12.19.04,16.03600916149548
Zhejiang-Hydro_Pumped-ep-35017,2040.12.19.08,0.0
