TRANS_TIMEPOINTS_1,TRANS_TIMEPOINTS_2,TRANS_TIMEPOINTS_3,DispatchTx
Shanghai,Zhejiang,2040.12.19.00,4324.202227576416
Shanghai,Zhejiang,2040.12.19.04,2764.724783014464
Shanghai,Zhejiang,2040.12.19.08,0.0
Shanghai,Zhejiang,2040.12.19.12,0.0
Shanghai,Zhejiang,2040.12.19.16,0.0
Shanghai,Zhejiang,2040.12.19.20,0.0
Shanghai,Zhejiang,2050.06.12.00,0.0
Shanghai,Zhejiang,2050.06.12.04,0.0
Shanghai,Zhejiang,2050.06.12.08,0.0
Shanghai,Zhejiang,2050.06.12.12,0.0
Shanghai,Zhejiang,2050.06.12.16,0.0
Shanghai,Zhejiang,2050.06.12.20,0.0
Shanghai,Zhejiang,2050.12.12.00,0.0
Shanghai,Zhejiang,2050.12.12.04,0.0
Shanghai,Zhejiang,2050.12.12.08,0.0
Shanghai,Zhejiang,2050.12.12.12,0.0
Shanghai,Zhejiang,2050.12.12.16,0.0
Shanghai,Zhejiang,2050.12.12.20,0.0
Anhui,Jiangsu,2040.06.26.00,19078.14698223785
Anhui,Jiangsu,2040.06.26.04,23542.3167507999
Anhui,Jiangsu,2040.06.26.08,7771.029677142704
Anhui,Jiangsu,2040.06.26.12,20854.78034185206
Anhui,Jiangsu,2040.06.26.16,37062.41677730736
Anhui,Jiangsu,2040.06.26.20,17794.41845758703
Anhui,Jiangsu,2040.12.19.00,18802.76376763063
Anhui,Jiangsu,2040.12.19.04,19260.25104761258
Anhui,Jiangsu,2040.12.19.08,124302.4321493297
Anhui,Jiangsu,2040.12.19.12,202569.6553351503
Anhui,Jiangsu,2040.12.19.16,53820.98800931463
Anhui,Jiangsu,2040.12.19.20,14093.69468636277
Anhui,Jiangsu,2050.06.12.00,103079.804756505
Anhui,Jiangsu,2050.06.12.04,45354.85244194221
Anhui,Jiangsu,2050.06.12.08,331188.5302116639
Anhui,Jiangsu,2050.06.12.12,331188.5302116639
Anhui,Jiangsu,2050.06.12.16,331188.5302116639
Anhui,Jiangsu,2050.06.12.20,168122.5900288585
Anhui,Jiangsu,2050.12.12.00,107998.4001337404
Anhui,Jiangsu,2050.12.12.04,90986.49713581774
Anhui,Jiangsu,2050.12.12.08,221753.272561965
Anhui,Jiangsu,2050.12.12.12,248135.2223966174
Anhui,Jiangsu,2050.12.12.16,63296.21686318728
Anhui,Jiangsu,2050.12.12.20,87854.86721576953
Jiangsu,Anhui,2040.06.26.00,0.0
Jiangsu,Anhui,2040.06.26.04,0.0
Jiangsu,Anhui,2040.06.26.08,0.0
Jiangsu,Anhui,2040.06.26.12,0.0
Jiangsu,Anhui,2040.06.26.16,0.0
Jiangsu,Anhui,2040.06.26.20,0.0
Jiangsu,Anhui,2040.12.19.00,0.0
Jiangsu,Anhui,2040.12.19.04,0.0
Jiangsu,Anhui,2040.12.19.08,0.0
Jiangsu,Anhui,2040.12.19.12,0.0
Jiangsu,Anhui,2040.12.19.16,0.0
Jiangsu,Anhui,2040.12.19.20,0.0
Jiangsu,Anhui,2050.06.12.00,0.0
Jiangsu,Anhui,2050.06.12.04,0.0
Jiangsu,Anhui,2050.06.12.08,0.0
Jiangsu,Anhui,2050.06.12.12,0.0
Jiangsu,Anhui,2050.06.12.16,0.0
Jiangsu,Anhui,2050.06.12.20,0.0
Jiangsu,Anhui,2050.12.12.00,0.0
Jiangsu,Anhui,2050.12.12.04,0.0
Jiangsu,Anhui,2050.12.12.08,0.0
Jiangsu,Anhui,2050.12.12.12,0.0
Jiangsu,Anhui,2050.12.12.16,0.0
Jiangsu,Anhui,2050.12.12.20,0.0
