generation_project,timepoint,load_zone,ChargeMW,DischargeMW,StateOfCharge
Fujian-Hydro_Pumped-ep-35041,2050-06-12_04:00,Fujian,0,558.206,0
Fujian-Hydro_Pumped-ep-35041,2050-06-12_08:00,Fujian,1328.6,531.44,1806.9
Fujian-Hydro_Pumped-ep-35041,2050-06-12_12:00,Fujian,1328.6,531.44,3613.79
Fujian-Hydro_Pumped-ep-35041,2050-06-12_16:00,Fujian,750.526,300.211,4634.51
Fujian-Hydro_Pumped-ep-35041,2050-06-12_20:00,Fujian,0,300.211,3433.67
Fujian-Hydro_Pumped-ep-35041,2050-12-12_00:00,Fujian,0,70.1437,561.149
Fujian-Hydro_Pumped-ep-35041,2050-12-12_04:00,Fujian,0,70.1437,280.575
Fujian-Hydro_Pumped-ep-35041,2050-12-12_08:00,Fujian,0,70.1437,0
Fujian-Hydro_Pumped-ep-35041,2050-12-12_12:00,Fujian,1137.47,454.986,1546.95
Fujian-Hydro_Pumped-ep-35041,2050-12-12_16:00,Fujian,0,70.1437,1266.38
Fujian-Hydro_Pumped-ep-35041,2050-12-12_20:00,Fujian,0,106.163,841.724
Jiangsu-Battery_Storage-11179,2040-06-26_00:00,Jiangsu,0,0,0
Jiangsu-Battery_Storage-11179,2040-06-26_04:00,Jiangsu,0,0,0
Jiangsu-Battery_Storage-11179,2040-06-26_08:00,Jiangsu,0,0,0
Jiangsu-Battery_Storage-11179,2040-06-26_12:00,Jiangsu,0,0,0
Jiangsu-Battery_Storage-11179,2040-06-26_16:00,Jiangsu,0,0,0
Jiangsu-Battery_Storage-11179,2040-06-26_20:00,Jiangsu,0,0,0
Jiangsu-Battery_Storage-11179,2040-12-19_00:00,Jiangsu,0,0,0
Jiangsu-Battery_Storage-11179,2040-12-19_04:00,Jiangsu,0,0,0
Jiangsu-Battery_Storage-11179,2040-12-19_08:00,Jiangsu,14607.2,0,44814.8
Jiangsu-Battery_Storage-11179,2040-12-19_12:00,Jiangsu,47331.5,0,190028
Jiangsu-Battery_Storage-11179,2040-12-19_16:00,Jiangsu,0,47331.5,701.825
Jiangsu-Battery_Storage-11179,2040-12-19_20:00,Jiangsu,0,175.456,0
Jiangsu-Battery_Storage-11179,2050-06-12_00:00,Jiangsu,0,47715.9,359705
Jiangsu-Battery_Storage-11179,2050-06-12_04:00,Jiangsu,0,89926.2,0
Jiangsu-Battery_Storage-11179,2050-06-12_08:00,Jiangsu,68895.3,0,211371
Jiangsu-Battery_Storage-11179,2050-06-12_12:00,Jiangsu,56133.2,0,383587
Jiangsu-Battery_Storage-11179,2050-06-12_16:00,Jiangsu,54426.7,0,550568
Jiangsu-Battery_Storage-11179,2050-06-12_20:00,Jiangsu,0,0,550568
Jiangsu-Battery_Storage-11179,2050-12-12_00:00,Jiangsu,0,0,0
Jiangsu-Battery_Storage-11179,2050-12-12_04:00,Jiangsu,0,0,0
Jiangsu-Battery_Storage-11179,2050-12-12_08:00,Jiangsu,89529,0,274675
Jiangsu-Battery_Storage-11179,2050-12-12_12:00,Jiangsu,89926.2,0,550568
