load_zone,technology,period,capacity
Fujian,Nuclear_EP_SEA,2038,7543.0
Fujian,Nuclear_EP_SEA,2048,7543.0
Fujian,Nuclear_SEA,2038,6561.0
Fujian,Nuclear_SEA,2048,6561.0
Fujian,Nuclear_SMR,2038,0.0
Fujian,Nuclear_SMR,2048,0.0
Fujian,Offshore_Wind,2038,28050.0
Fujian,Offshore_Wind,2048,28050.0
Fujian,Residential_PV,2038,1599.9999999000001
Fujian,Residential_PV,2048,1599.9999999000001
Fujian,Wind,2038,12200.000000999999
Fujian,Wind,2048,12200.000000999999
Fujian,Wind_EP,2038,2258.6
Fujian,Wind_EP,2048,0
Fujian,hydro,2038,0.0
Fujian,hydro,2048,0.0
Fujian,fuel cells,2038,0.0
Fujian,fuel cells,2048,0.0
Jiangsu,Battery_Storage,2038,48297.49286728659
Jiangsu,Battery_Storage,2048,91761.41203639704
Jiangsu,Battery_Storage_MWh,2038,289784.9572037195
Jiangsu,Battery_Storage_MWh,2048,550568.4722183822
Jiangsu,Central_PV,2038,8000.000001
Jiangsu,Central_PV,2048,8000.000001
Jiangsu,Central_PV_EP,2038,9073.1
Jiangsu,Central_PV_EP,2048,0
Jiangsu,Coal_1000_OT,2038,32323.395391595433
Jiangsu,Coal_1000_OT,2048,32323.395391595433
Jiangsu,Coal_1000_OT_H2,2038,0.0
Jiangsu,Coal_1000_OT_H2,2048,0.0
Jiangsu,Coal_1000_RC,2038,0.0
Jiangsu,Coal_1000_RC,2048,0.0
Jiangsu,Coal_1000_RC_H2,2038,0.0
Jiangsu,Coal_1000_RC_H2,2048,0.0
Jiangsu,Coal_1000_SEA,2038,0.0
Jiangsu,Coal_1000_SEA,2048,0.0
Jiangsu,Coal_1000_SEA_H2,2038,0.0
Jiangsu,Coal_1000_SEA_H2,2048,0.0
Jiangsu,Coal_100_OT,2038,0
Jiangsu,Coal_100_OT,2048,0
Jiangsu,Coal_100_OT_H2,2038,0
Jiangsu,Coal_100_OT_H2,2048,0
Jiangsu,Coal_100_RC,2038,0
Jiangsu,Coal_100_RC,2048,0
Jiangsu,Coal_100_RC_H2,2038,0
